NL_NAME_2,CAR_SHAIR_POINTS,NAME_2
上尾市,10,Ageo
大利根町,0,Ōtone
朝霞市,19,Asaka
秩父市,2,Chichibu
ふじみ野市,8,Fujimino
富士見市,7,Fujimi
深谷市,2,Fukaya
行田市,0,Gyōda
飯能市,6,Hannō
羽生市,0,Hanyū
蓮田市,0,Hasuda
鳩ケ谷市,0,Hatogaya
鳩山町,0,Hatoyama
日高市,0,Hidaka
東秩父村,0,Higashichichibu
東松山市,1,Higashimatsuyama
本庄市,2,Honjō
伊奈町,0,Ina
入間市,9,Iruma
鴻巣市,6,Kōnosu
神川町,0,Kamikawa
上里町,1,Kamisato
春日部市,14,Kasukabe
川越市,22,Kawagoe
川口市,78,Kawaguchi
川島町,0,Kawajima
加須市,1,Kazo
騎西町,0,Kisai
北川辺町,0,Kitakawabe
北本市,5,Kitamoto
越谷市,34,Koshigaya
久喜市,7,Kuki
熊谷市,13,Kumagaya
栗橋町,0,Kurihashi
松伏町,0,Matsubushi
皆野町,0,Minano
美里町,13,Misato City
美里町,0,Misato
宮代町,0,Miyashiro
三芳町,0,Miyoshi
毛呂山町,0,Moroyama
長瀞町,1,Nagatoro
滑川町,0,Namegawa
新座市,8,Niiza
小鹿野町,0,Ogano
小川町,1,Ogawa
越生町,0,Ogose
桶川町,5,Okegawa
志木市,7,Ranzan
草加市,24,Sōka
さいたま市,191,Saitama
坂戸市,5,Sakado
幸手市,1,Satte
狭山市,4,Sayama
菖蒲町,0,Shōbu
志木市,7,Shiki
白岡町,1,Shiraoka
杉戸町,0,Sugito
戸田市,26,Toda
ときがわ町,0,Tokigawa
所沢市,23,Tokorozawa
鶴ヶ島市,4,Tsurugashima
和光市,12,Wakō
蕨市,11,Warabi
鷲宮町,0,Washimiya
八潮市,11,Yashio
横瀬町,0,Yokoze
寄居町,1,Yorii
吉川市,4,Yoshikawa
吉見町,0,Yoshimi
